Scenario;Duration (h);Time Steps;# Buses;# Generators;# Loads;# AC Lines;# Transformers;# Contingencies;Total Load (pu);Total Generation (pu);Grid Size;Status;Description
Processing scenario_120.json in C3E1N00014D1;8.0;18;14;6;11;17;3;12;0.9300580868854732;0.44385001429999993;Large;Valid;This is a Large grid with 14 buses and a planning horizon of 8.0 hours. It has 6 producers and 11 consumers. Total initial active load is 0.930 pu and reactive load is 0.450 pu. The generators produce 0.444 pu initially. There are 17 AC lines, 3 transformers, and 12 contingency cases. 
Processing scenario_114.json in C3E1N00014D1;8.0;18;14;6;11;17;3;12;0.9381733343936768;0.5012500142999999;Large;Valid;This is a Large grid with 14 buses and a planning horizon of 8.0 hours. It has 6 producers and 11 consumers. Total initial active load is 0.938 pu and reactive load is 0.454 pu. The generators produce 0.501 pu initially. There are 17 AC lines, 3 transformers, and 12 contingency cases. 
Processing scenario_118.json in C3E1N00014D1;8.0;18;14;6;11;17;3;12;0.5868339048024658;0.47461001129999997;Large;Valid;This is a Large grid with 14 buses and a planning horizon of 8.0 hours. It has 6 producers and 11 consumers. Total initial active load is 0.587 pu and reactive load is 0.284 pu. The generators produce 0.475 pu initially. There are 17 AC lines, 3 transformers, and 12 contingency cases. 
Processing scenario_122.json in C3E1N00014D1;8.0;18;14;6;11;17;3;12;0.8555504946093553;0.4365000138;Large;Valid;This is a Large grid with 14 buses and a planning horizon of 8.0 hours. It has 6 producers and 11 consumers. Total initial active load is 0.856 pu and reactive load is 0.414 pu. The generators produce 0.437 pu initially. There are 17 AC lines, 3 transformers, and 12 contingency cases. 
Processing scenario_113.json in C3E1N00014D1;8.0;18;14;6;11;17;3;12;0.6212325751420256;0.49582001429999994;Large;Valid;This is a Large grid with 14 buses and a planning horizon of 8.0 hours. It has 6 producers and 11 consumers. Total initial active load is 0.621 pu and reactive load is 0.301 pu. The generators produce 0.496 pu initially. There are 17 AC lines, 3 transformers, and 12 contingency cases. 
Processing scenario_129.json in C3E1N00014D1;8.0;18;14;6;11;17;3;12;0.9340081016160714;0.5105100143;Large;Valid;This is a Large grid with 14 buses and a planning horizon of 8.0 hours. It has 6 producers and 11 consumers. Total initial active load is 0.934 pu and reactive load is 0.452 pu. The generators produce 0.511 pu initially. There are 17 AC lines, 3 transformers, and 12 contingency cases. 
Processing scenario_002.json in C3E1N00073D1;8.0;18;73;157;51;105;15;2;0.0;0.0;Large;Invalid;This is a Large grid with 73 buses and a planning horizon of 8.0 hours. It has 157 producers and 51 consumers. Total initial active load is 0.000 pu and reactive load is 0.000 pu. The generators produce 0.000 pu initially. There are 105 AC lines, 15 transformers, and 2 contingency cases. 
Processing scenario_118.json in C3E1N00037D1;8.0;18;37;8;26;43;14;40;6.565.164.388.143.870;35.890.697.229.999.900;Large;Valid;This is a Large grid with 37 buses and a planning horizon of 8.0 hours. It has 8 producers and 26 consumers. Total initial active load is 6.565 pu and reactive load is 3.180 pu. The generators produce 3.589 pu initially. There are 43 AC lines, 14 transformers, and 40 contingency cases. 
Processing scenario_114.json in C3E1N00037D1;8.0;18;37;8;26;43;14;40;7.884.472.031.541.450;36.036.577.195;Large;Valid;This is a Large grid with 37 buses and a planning horizon of 8.0 hours. It has 8 producers and 26 consumers. Total initial active load is 7.884 pu and reactive load is 3.819 pu. The generators produce 3.604 pu initially. There are 43 AC lines, 14 transformers, and 40 contingency cases. 
Processing scenario_050.json in C3E1N06049D2;48.0;48;6049;468;3368;4920;3086;3884;23.199.946.805.057.700;20.028.388.592.470.200;Large;Valid;This is a Large grid with 6049 buses and a planning horizon of 48.0 hours. It has 468 producers and 3368 consumers. Total initial active load is 231.999 pu and reactive load is 76.255 pu. The generators produce 200.284 pu initially. There are 4920 AC lines, 3086 transformers, and 3884 contingency cases. 
Processing scenario_101.json in C3E1N06049D2;48.0;48;6049;803;3368;4920;3086;3884;23.043.961.857.661.200;1.920.298.004.921.710;Large;Valid;This is a Large grid with 6049 buses and a planning horizon of 48.0 hours. It has 803 producers and 3368 consumers. Total initial active load is 230.440 pu and reactive load is 75.472 pu. The generators produce 192.030 pu initially. There are 4920 AC lines, 3086 transformers, and 3884 contingency cases. 
Processing scenario_122.json in C3E1N04200D2;48.0;48;4224;478;1673;2605;2325;2313;2.423.040.071.795.940;29.227.258.083.975.300;Large;Valid;This is a Large grid with 4224 buses and a planning horizon of 48.0 hours. It has 478 producers and 1673 consumers. Total initial active load is 242.304 pu and reactive load is 117.353 pu. The generators produce 292.273 pu initially. There are 2605 AC lines, 2325 transformers, and 2313 contingency cases. 
Processing scenario_113.json in C3E1N04200D2;48.0;48;4224;478;1673;2605;2325;2313;2.750.442.904.944.640;29.719.721.099.325.300;Large;Valid;This is a Large grid with 4224 buses and a planning horizon of 48.0 hours. It has 478 producers and 1673 consumers. Total initial active load is 275.044 pu and reactive load is 133.210 pu. The generators produce 297.197 pu initially. There are 2605 AC lines, 2325 transformers, and 2313 contingency cases. 
Processing scenario_112.json in C3E1N04200D2;48.0;48;4224;478;1673;2605;2325;2313;23.143.764.168.334.200;29.227.258.083.975.300;Large;Valid;This is a Large grid with 4224 buses and a planning horizon of 48.0 hours. It has 478 producers and 1673 consumers. Total initial active load is 231.438 pu and reactive load is 112.090 pu. The generators produce 292.273 pu initially. There are 2605 AC lines, 2325 transformers, and 2313 contingency cases. 
Processing scenario_129.json in C3E1N04200D2;48.0;48;4224;478;1673;2605;2325;2313;264.365.703.138.237;2.960.812.975.184.530;Large;Valid;This is a Large grid with 4224 buses and a planning horizon of 48.0 hours. It has 478 producers and 1673 consumers. Total initial active load is 264.366 pu and reactive load is 128.038 pu. The generators produce 296.081 pu initially. There are 2605 AC lines, 2325 transformers, and 2313 contingency cases. 
Processing scenario_118.json in C3E1N04200D2;48.0;48;4224;478;1673;2605;2325;2313;3.008.147.153.392.420;29.227.258.083.975.300;Large;Valid;This is a Large grid with 4224 buses and a planning horizon of 48.0 hours. It has 478 producers and 1673 consumers. Total initial active load is 300.815 pu and reactive load is 145.691 pu. The generators produce 292.273 pu initially. There are 2605 AC lines, 2325 transformers, and 2313 contingency cases. 
Processing scenario_114.json in C3E1N04200D2;48.0;48;4224;478;1673;2605;2325;2313;1.957.657.630.504.090;29.227.258.083.975.300;Large;Valid;This is a Large grid with 4224 buses and a planning horizon of 48.0 hours. It has 478 producers and 1673 consumers. Total initial active load is 195.766 pu and reactive load is 94.814 pu. The generators produce 292.273 pu initially. There are 2605 AC lines, 2325 transformers, and 2313 contingency cases. 
Processing scenario_121.json in C3E1N04200D2;48.0;48;4224;478;1673;2605;2325;2313;3.223.036.651.887.890;29.500.760.401.395.300;Large;Valid;This is a Large grid with 4224 buses and a planning horizon of 48.0 hours. It has 478 producers and 1673 consumers. Total initial active load is 322.304 pu and reactive load is 156.099 pu. The generators produce 295.008 pu initially. There are 2605 AC lines, 2325 transformers, and 2313 contingency cases. 
